timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1551499200,Mar 02 2019 - 4:00am,complete,3356,Jeonnam Dragons,Asan Mugunghwa,N/A,1,0.00,0.00,1.50,1.33,0,3,3,1,0,1,"","17,69,82",6,2,1,1,1,0,0,2,1,0,10,10,0,5,10,5,13,17,50,50,1.04,1.37,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.60,3.10,2.60,1.39,2.20,4.15,7.50,1.95,1.80,Gwangyang Stadium
1551506400,Mar 02 2019 - 6:00am,complete,6072,Busan I'Park,Anyang,N/A,1,0.00,0.00,1.89,1.26,1,4,5,3,1,2,"42","3,18,51,73",15,1,4,0,0,0,3,1,0,0,26,11,5,5,21,6,8,8,50,50,2.81,1.24,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.54,3.95,5.40,1.35,2.10,3.80,7.50,2.15,1.65,Busan Gudeok Stadium
1551506400,Mar 02 2019 - 6:00am,complete,2256,Bucheon 1995,Suwon,N/A,1,0.00,0.00,1.17,1.39,1,0,1,0,0,0,"50","",6,5,0,0,1,0,0,0,1,0,14,13,3,0,11,13,11,16,50,50,1.62,1.27,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.65,2.95,2.70,1.42,2.30,4.35,9.00,2.00,1.77,Bucheon Stadium
1551585600,Mar 03 2019 - 4:00am,complete,5176,Ansan Greeners,Daejeon Citizen,N/A,1,0.00,0.00,1.33,1.22,1,2,3,3,1,2,"14","5,32",8,4,2,1,2,0,1,2,0,2,13,9,7,5,6,4,17,20,50,50,1.84,1.29,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.25,3.20,2.15,1.34,2.10,3.80,8.00,1.87,1.87,Ansan Wa~ Stadium
1551592800,Mar 03 2019 - 6:00am,complete,3644,Seoul E-Land,Gwangju,N/A,1,0.00,0.00,1.06,1.78,0,2,2,2,0,2,"","4,9",3,5,2,1,1,0,1,2,1,0,9,19,5,8,4,11,12,17,50,50,1.27,2.26,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.75,3.20,2.00,1.33,2.05,3.70,8.00,1.83,1.87,Seoul Olympic Stadium (Seoul)
1552104000,Mar 09 2019 - 4:00am,complete,4383,Suwon,Busan I'Park,N/A,2,0.00,0.00,1.00,1.89,1,2,3,1,1,0,"21","46,52",2,7,1,1,3,0,0,2,0,3,14,15,10,7,4,8,19,9,50,50,2.08,1.92,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.40,3.15,2.10,1.35,2.10,3.80,8.00,1.91,1.83,Suwon Civil Stadium
1552111200,Mar 09 2019 - 6:00am,complete,2710,Seoul E-Land,Ansan Greeners,N/A,2,0.00,0.00,1.06,1.44,1,1,2,1,1,0,"14","90'6",5,7,2,0,0,0,1,1,0,0,5,18,2,9,3,9,16,11,50,50,0.75,2.35,1.00,0,50,0,0,0,50,50,0,0,3.00,4.00,2.95,2.95,2.45,1.48,2.50,4.85,10.00,2.10,1.67,Seoul Olympic Stadium (Seoul)
1552190400,Mar 10 2019 - 4:00am,complete,5294,Gwangju,Asan Mugunghwa,N/A,2,0.00,3.00,2.28,1.33,4,0,4,2,2,0,"5,30,55,69","",5,12,1,0,0,1,0,1,0,1,10,16,5,9,5,7,14,13,50,50,1.31,2.13,1.50,0,50,50,0,0,0,50,50,50,2.00,1.00,2.95,3.05,2.40,1.40,2.25,4.20,7.50,1.95,1.80,Gwangju World Cup Stadium
1552197600,Mar 10 2019 - 6:00am,complete,1006,Jeonnam Dragons,Daejeon Citizen,N/A,2,0.00,3.00,1.50,1.22,1,3,4,3,0,3,"90'3","21,33,40",3,5,3,0,0,0,1,2,0,0,10,11,4,9,6,2,19,12,50,50,1.33,1.69,3.00,50,100,100,0,0,50,100,50,50,10.00,4.00,2.35,3.25,2.80,1.31,2.00,3.50,6.15,1.77,1.95,Gwangyang Stadium
1552197600,Mar 10 2019 - 6:00am,complete,1541,Bucheon 1995,Anyang,N/A,2,3.00,3.00,1.17,1.26,1,0,1,1,1,0,"42","",8,5,2,0,3,0,0,2,1,2,18,6,6,3,12,3,5,7,50,50,2.13,1.04,3.00,50,50,50,50,50,50,50,50,100,7.00,0.00,2.65,3.10,2.55,1.36,2.10,3.85,6.95,1.87,1.87,Bucheon Stadium
