timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1588998600,May 09 2020 - 4:30am,complete,N/A,Jeju United,Seoul E-Land,Dong-Jin Kim,1,0.00,0.00,2.21,1.71,1,1,2,1,1,0,"39","68",5,3,3,0,2,1,2,1,1,2,10,13,4,5,6,8,15,9,58,42,1.41,1.54,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.60,3.65,2.35,1.19,1.62,2.60,4.70,1.56,2.30,Jeju World Cup Stadium (Seogwipo)
1589007600,May 09 2020 - 7:00am,complete,N/A,Suwon,Daejeon Citizen,Dong-Sik Jeong,1,0.00,0.00,1.57,1.47,1,2,3,2,1,1,"18","35,90'3",4,2,2,0,3,0,0,2,1,2,17,11,5,4,12,7,17,20,42,58,1.98,1.52,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.74,3.80,4.00,1.24,1.77,2.95,5.45,1.74,2.00,Suwon Sports Complex (Suwon)
1589085000,May 10 2020 - 4:30am,complete,N/A,Asan Mugunghwa,Bucheon 1995,Kwang-Ho Choi,1,0.00,0.00,0.50,1.00,0,1,1,0,0,0,"","90'2",0,7,3,0,1,0,2,1,0,1,6,10,4,4,2,6,10,13,36,64,1.05,1.60,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.65,3.55,2.35,1.25,1.80,3.00,5.60,1.67,2.10,Yishunsin Stadium (Asan)
1589094000,May 10 2020 - 7:00am,complete,N/A,Anyang,Ansan Greeners,Young-Su Kim,1,0.00,0.00,0.85,1.46,0,1,1,0,0,0,"","51",3,3,2,0,2,0,1,1,1,1,10,9,5,5,5,4,7,13,54,46,1.65,1.44,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.95,3.55,3.35,1.23,1.77,2.95,5.45,1.69,2.10,Anyang Stadium (Anyang)
1589103000,May 10 2020 - 9:30am,complete,N/A,Gyeongnam,Jeonnam Dragons,Min-Seok Song,1,0.00,0.00,1.53,1.54,0,0,0,0,0,0,"","",2,5,2,0,2,0,1,1,1,1,10,8,2,3,8,5,14,14,58,42,1.27,1.17,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.95,3.55,3.50,1.31,2.00,3.60,6.90,1.87,1.87,Changwon Football Center (Changwon)
1589612400,May 16 2020 - 7:00am,complete,N/A,Ansan Greeners,Suwon,Deok-Chul Kim,2,0.00,0.00,0.64,2.36,0,2,2,1,0,1,"","32,69",5,6,1,0,0,0,0,1,0,0,9,13,4,8,5,5,15,18,56,44,1.36,1.73,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.15,3.35,2.90,1.27,1.91,3.30,6.05,1.71,1.95,Ansan Wa Stadium (Ansan)
1589612400,May 16 2020 - 7:00am,complete,N/A,Jeonnam Dragons,Jeju United,Il-Woo Choi,2,0.00,0.00,1.29,2.23,1,0,1,0,0,0,"59","",0,10,3,1,3,0,1,3,1,2,6,17,3,6,3,11,12,15,36,64,0.85,2.07,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.75,3.20,2.30,1.31,2.05,3.60,7.00,1.83,1.83,Gwangyang Stadium (Gwangyang)
1589621400,May 16 2020 - 9:30am,complete,N/A,Bucheon 1995,Anyang,Hoe-Soo Jung,2,0.00,0.00,0.92,1.00,2,1,3,0,0,0,"62,90'1","87",2,1,1,0,3,0,1,0,2,1,7,6,4,4,3,2,13,14,44,56,1.10,1.14,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.35,3.35,2.60,1.28,1.91,3.30,6.10,1.74,1.91,Bucheon Stadium (Bucheon)
1589698800,May 17 2020 - 7:00am,complete,N/A,Seoul E-Land,Gyeongnam,Dong-Jin Seo,2,0.00,0.00,1.15,1.29,2,2,4,0,0,0,"55,83","59,72",5,2,2,0,4,0,1,1,1,3,16,11,8,6,8,5,8,10,41,59,1.90,1.46,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.05,3.30,2.10,1.31,2.00,3.50,6.40,1.80,1.83,Seoul Olympic Stadium (Seoul)
1589707800,May 17 2020 - 9:30am,complete,N/A,Daejeon Citizen,Asan Mugunghwa,Hyun-Jae Choi,2,0.00,0.00,1.38,1.15,2,2,4,2,1,1,"45'6,82","15,71",5,6,5,0,1,0,2,3,1,0,13,7,7,4,6,3,21,11,60,40,1.73,1.14,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.62,3.55,4.65,1.29,1.95,3.45,6.45,1.91,1.74,Daejeon World Cup Stadium (Daejeon)
1590217200,May 23 2020 - 7:00am,complete,N/A,Jeju United,Daejeon Citizen,Min-Seok Song,3,1.00,3.00,2.21,1.47,2,3,5,1,1,0,"19,55","59,80,88",7,7,1,1,2,0,1,1,0,2,15,16,8,8,7,8,17,9,45,55,1.92,2.02,2.50,100,100,50,0,0,50,100,0,100,7.00,6.00,2.05,3.25,3.25,1.26,1.87,3.20,5.85,1.71,1.95,Jeju World Cup Stadium (Seogwipo)
1590226200,May 23 2020 - 9:30am,complete,N/A,Ansan Greeners,Bucheon 1995,Dong-Sik Jeong,3,0.00,3.00,0.64,1.00,0,2,2,1,0,1,"","1,89",4,3,2,0,1,0,0,2,0,1,12,11,5,5,7,6,10,13,52,48,1.61,1.47,1.50,0,50,0,0,0,0,50,0,100,12.00,2.00,2.60,2.80,2.70,1.38,2.20,4.10,7.50,1.91,1.74,Ansan Wa Stadium (Ansan)
1590303600,May 24 2020 - 7:00am,complete,N/A,Anyang,Gyeongnam,Deok-Hyo Sung,3,0.00,1.00,0.85,1.29,2,3,5,2,1,1,"22,87","31,73,82",5,2,3,0,3,1,1,2,3,1,9,11,4,5,5,6,20,16,44,56,1.18,1.38,2.50,50,50,50,50,0,0,0,50,100,5.00,6.00,2.40,3.25,2.60,1.28,1.91,3.35,6.15,1.74,1.91,Anyang Stadium (Anyang)
1590312600,May 24 2020 - 9:30am,complete,N/A,Asan Mugunghwa,Suwon,Young-Su Kim,3,0.00,3.00,0.50,2.36,0,5,5,2,0,2,"","23,41,47,52,80",2,5,1,0,1,0,1,0,1,0,6,16,2,8,4,8,15,16,42,58,0.81,1.93,1.50,0,50,0,0,0,0,50,0,100,6.00,3.00,3.30,3.30,2.00,1.27,1.91,3.30,6.05,1.77,1.87,Yishunsin Stadium (Asan)
