timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1488607200,Mar 04 2017 - 6:00am,complete,12388,Ulsan,Pohang Steelers,N/A,1,0.00,0.00,1.84,1.26,2,1,3,0,0,0,"74,87","83",8,5,3,0,2,0,2,1,0,2,24,21,9,6,15,15,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Ulsan Munsu Football Stadium
1488607200,Mar 04 2017 - 6:00am,complete,11830,Gwangju,Daegu,N/A,1,0.00,0.00,1.05,1.00,1,0,1,1,1,0,"43","",2,4,2,0,2,0,0,2,0,2,12,10,7,2,5,8,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Gwangju World Cup Stadium
1488607200,Mar 04 2017 - 6:00am,complete,5523,Sangju Sangmu,Gangwon,N/A,1,0.00,0.00,0.68,1.32,1,2,3,0,0,0,"81","60,88",3,5,0,0,1,0,0,0,1,0,12,11,5,7,7,4,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sangju Stadium
1488693600,Mar 05 2017 - 6:00am,complete,20935,Jeonbuk Motors,Jeonnam Dragons,N/A,1,0.00,0.00,1.95,0.63,2,1,3,1,1,0,"40,90'4","85",2,7,2,0,1,0,1,1,0,1,11,13,7,8,4,5,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Jeonju Civil Stadium (Jeonju)
1488693600,Mar 05 2017 - 6:00am,complete,34376,FC Seoul,Suwon Bluewings,N/A,1,0.00,0.00,1.68,1.84,1,1,2,1,0,1,"63","9",8,2,1,0,1,0,0,1,0,1,12,10,4,3,8,7,-1,-1,55,45,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Seoul World Cup Stadium
1488693600,Mar 05 2017 - 6:00am,complete,13301,Incheon United,Jeju United,N/A,1,0.00,0.00,1.11,1.53,0,1,1,0,0,0,"","64",2,6,3,0,3,1,2,1,2,2,11,23,2,9,9,14,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sungui Arena Park
1489208400,Mar 11 2017 - 5:00am,complete,13478,Daegu,Incheon United,N/A,2,0.00,0.00,1.47,0.95,2,2,4,0,0,0,"48,80","85,90'2",2,4,2,0,2,0,2,0,0,2,4,5,4,5,0,0,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Daegu Stadium
1489212000,Mar 11 2017 - 6:00am,complete,13281,Suwon Bluewings,Jeonbuk Motors,N/A,2,0.00,0.00,1.53,2.00,0,2,2,2,0,2,"","36,43",5,4,4,0,2,0,2,2,2,0,10,13,3,8,7,5,-1,-1,56,44,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Suwon World Cup Stadium
1489212000,Mar 11 2017 - 6:00am,complete,5058,Jeju United,Ulsan,N/A,2,0.00,0.00,1.95,1.42,3,0,3,0,0,0,"54,63,68","",4,6,3,0,3,0,2,1,1,2,4,0,4,0,0,0,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Jeju World Cup Stadium
1489212000,Mar 11 2017 - 6:00am,complete,5098,Gangwon,FC Seoul,N/A,2,0.00,0.00,1.26,1.53,0,1,1,0,0,0,"","78",4,1,3,0,0,0,1,2,0,0,7,13,2,3,5,10,-1,-1,44,56,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Alpensia Ski Jumping Stadium (Pyeongchang)
