timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1425704400,Mar 07 2015 - 5:00am,complete,8012,Incheon United,Gwangju,N/A,1,0.00,0.00,1.45,1.26,2,2,4,2,1,1,"14,90'1","32,90'4",-1,-1,3,0,1,0,2,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sungui Arena Park
1425708000,Mar 07 2015 - 6:00am,complete,23810,Jeonbuk Motors,Seongnam,N/A,1,0.00,0.00,2.21,1.53,2,0,2,1,1,0,"39,83","",-1,-1,1,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Jeonju World Cup Stadium
1425711600,Mar 07 2015 - 7:00am,complete,9082,Busan I'Park,Daejeon Citizen,N/A,1,0.00,0.00,0.74,0.42,1,0,1,0,0,0,"81","",-1,-1,2,0,2,0,0,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Busan Asiad Main Stadium (Busan)
1425790800,Mar 08 2015 - 5:00am,complete,12608,Jeonnam Dragons,Jeju United,N/A,1,0.00,0.00,1.63,1.10,1,1,2,0,0,0,"79","51",-1,-1,1,0,3,0,0,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Gwangyang Stadium
1425790800,Mar 08 2015 - 5:00am,complete,17573,Suwon Bluewings,Pohang Steelers,N/A,1,0.00,0.00,1.84,1.79,0,1,1,0,0,0,"","72",-1,-1,2,1,5,1,3,0,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Suwon World Cup Stadium
1425798000,Mar 08 2015 - 7:00am,complete,12786,Ulsan,FC Seoul,N/A,1,0.00,0.00,1.63,1.47,2,0,2,2,2,0,"22,34","",-1,-1,0,0,3,0,0,0,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Ulsan Munsu Football Stadium
1426309200,Mar 14 2015 - 5:00am,complete,32516,FC Seoul,Jeonbuk Motors,N/A,2,0.00,0.00,1.79,1.63,1,2,3,0,0,0,"80","64,71",4,4,1,0,3,1,0,1,0,4,8,5,4,3,4,2,12,19,51,49,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Seoul World Cup Stadium
1426309200,Mar 14 2015 - 5:00am,complete,10207,Suwon Bluewings,Incheon United,N/A,2,0.00,0.00,1.84,1.22,2,1,3,1,1,0,"11,90'3","74",-1,-1,0,0,1,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.50,0,0,0,0,0,0,0,0,50,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Suwon World Cup Stadium
1426316400,Mar 14 2015 - 7:00am,complete,6521,Seongnam,Jeonnam Dragons,N/A,2,0.00,0.00,1.63,0.95,0,0,0,0,0,0,"","",3,10,1,0,0,0,0,1,0,0,10,12,5,9,5,3,16,17,50,50,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Seongnam Tancheon Sports Complex
1426395600,Mar 15 2015 - 5:00am,complete,11857,Daejeon Citizen,Gwangju,N/A,2,0.00,1.00,0.58,1.26,0,2,2,1,0,1,"","34,85",-1,-1,1,0,2,0,1,0,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,2.00,50,50,50,50,0,50,50,50,50,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Daejeon World Cup Stadium
