timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1614402000,Feb 27 2021 - 5:00am,complete,N/A,Jeonbuk Motors,FC Seoul,Jong-Hyeok Kim,1,0.00,0.00,2.21,1.37,2,0,2,0,0,0,"76,90'3","",7,3,0,0,2,0,0,0,0,2,11,15,4,6,7,9,9,4,54,46,1.51,1.69,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.50,3.90,6.50,1.28,1.80,2.90,5.50,1.87,1.91,Jeonju World Cup Stadium (Jeonju)
1614411000,Feb 27 2021 - 7:30am,complete,N/A,Daegu,Suwon,Woo-Sung Kim,1,0.00,0.00,1.58,1.11,1,1,2,1,0,1,"76","29",7,1,1,0,3,0,1,0,1,2,8,9,5,4,3,5,12,14,56,44,1.32,1.18,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.87,3.20,4.40,1.37,2.05,3.45,7.00,1.91,1.87,DGB Arena (Daegu)
1614488400,Feb 28 2021 - 5:00am,complete,N/A,Pohang Steelers,Incheon United,Hyung-Jin Ko,1,0.00,0.00,1.15,1.05,2,1,3,1,0,1,"60,72","28",2,2,2,0,3,0,1,1,2,1,11,4,5,2,6,2,14,10,58,42,1.39,0.55,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.80,3.30,4.90,1.32,1.91,3.25,6.50,1.80,1.95,Steelyard Stadium (Pohang)
1614497400,Feb 28 2021 - 7:30am,complete,N/A,Suwon Bluewings,Gwangju,Sang-Hyeop Chae,1,0.00,0.00,1.11,0.89,1,0,1,0,0,0,"51","",7,1,0,0,3,0,0,0,2,1,15,0,3,0,12,0,16,15,69,31,1.62,0.17,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,3.35,3.65,1.39,2.10,3.60,7.25,2.00,1.80,Suwon World Cup Stadium (Suwon)
1614574800,Mar 01 2021 - 5:00am,complete,N/A,Ulsan,Gangwon,Byung-Jin Park,1,0.00,0.00,2.32,0.74,5,0,5,1,1,0,"28,54,57,64,71","",1,3,2,0,1,1,2,0,1,1,14,8,9,2,5,6,15,12,56,44,1.95,1.05,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.71,3.55,4.95,1.29,1.87,3.05,6.00,1.80,1.95,Ulsan Munsu Football Stadium (Ulsan)
1614583800,Mar 01 2021 - 7:30am,complete,N/A,Seongnam,Jeju United,Dae-Young Kim,1,0.00,0.00,1.53,1.25,0,0,0,0,0,0,"","",3,3,0,0,0,1,0,0,0,1,10,12,4,4,6,8,12,14,51,49,1.42,1.52,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.80,3.15,2.55,1.48,2.25,4.05,8.25,2.05,1.74,Tancheon Sports Complex (Seongnam)
1615006800,Mar 06 2021 - 5:00am,complete,N/A,Jeju United,Jeonbuk Motors,Dong-Jin Kim,2,0.00,0.00,1.50,1.79,1,1,2,0,0,0,"69","56",3,8,1,0,3,0,1,0,3,0,9,9,5,3,4,6,8,17,40,60,1.24,1.33,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.20,3.60,1.76,1.29,1.97,3.10,6.00,1.83,1.91,Jeju World Cup Stadium (Seogwipo)
1615015800,Mar 06 2021 - 7:30am,complete,N/A,Gwangju,Ulsan,Young-Su Kim,2,0.00,0.00,1.11,1.58,0,1,1,1,0,1,"","38",5,9,1,0,1,0,0,1,1,0,14,17,6,6,8,11,11,17,43,57,1.88,2.12,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.85,3.85,1.55,1.28,1.81,3.10,6.00,1.91,1.80,Gwangju Football Stadium (Gwangju)
1615015800,Mar 06 2021 - 7:30am,complete,N/A,Incheon United,Daegu,Dong-Jun Lee,2,0.00,0.00,1.42,1.32,2,1,3,3,2,1,"13,38","15",3,7,3,0,1,0,1,2,0,1,10,10,5,3,5,7,24,12,47,53,1.33,1.29,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.31,3.25,1.98,1.36,1.67,3.65,7.25,1.91,1.80,Sungui Arena Park (Incheon)
1615024800,Mar 06 2021 - 10:00am,complete,N/A,Gangwon,Pohang Steelers,Jong-Hyeok Kim,2,0.00,0.00,1.53,1.28,1,3,4,1,1,0,"21","52,71,79",2,3,1,0,2,0,0,1,1,1,10,13,3,8,7,5,8,16,78,22,1.22,1.91,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.87,2.92,2.38,1.31,1.83,3.00,5.75,1.69,2.05,Gangneung Stadium (Gangneung)
